episode,avg_return,loss,theta_width_deg
304,686.673401,39.466095,5.00
305,540.363306,123.119030,5.00
306,749.944036,7.560117,5.00
307,706.443603,8.717233,5.00
308,699.928771,15.313851,5.00
309,753.538282,9.862473,5.00
310,736.442764,12.208981,5.00
311,676.144171,17.552152,5.00
312,712.054715,22.414766,5.00
313,682.731066,28.276121,5.00
314,743.836571,3.617434,5.00
315,731.571795,24.756676,5.00
316,745.322920,10.605750,5.00
317,727.684996,16.279453,5.00
318,768.022529,14.194932,5.00
319,698.762418,60.421883,5.00
320,721.434172,178.683751,5.00
321,747.646806,82.026531,5.00
322,750.864655,5.127096,5.00
323,770.482578,8.637994,5.00
324,649.847463,17.172661,5.00
325,769.412953,3.350553,5.00
326,696.454214,4.463093,5.00
327,752.103577,8.754742,5.00
328,660.862323,14.516879,5.00
329,721.729835,15.259008,5.00
330,723.792207,7.535186,5.00
331,682.415503,9.987286,5.00
332,774.479725,4.968325,5.00
333,677.932704,14.381439,5.00
334,782.858709,4.496515,5.00
335,686.253694,64.843629,5.00
336,765.365820,8.193786,5.00
337,692.474495,2.930162,5.00
338,775.988236,11.228424,5.00
339,686.163333,12.617845,5.00
340,690.318221,10.705408,5.00
341,666.318430,36.347217,5.00
342,655.681668,39.773218,5.00
343,651.422675,27.659175,5.00
344,748.330764,10.000986,5.00
345,684.201728,9.330082,5.00
346,757.363903,5.824158,5.00
347,710.614527,7.510117,5.00
348,722.713027,15.320476,5.00
349,751.593309,10.424309,5.00
350,704.676385,13.262793,5.00
351,642.830963,213.377585,5.00
352,763.047310,12.401987,5.00
353,659.724773,106.006805,5.00
354,766.570881,25.472863,5.00
355,770.355120,13.012962,5.00
356,681.504822,5.679494,5.00
357,687.392449,16.778027,5.00
358,667.934794,27.381933,5.00
359,644.007592,23.094538,5.00
360,713.959942,14.636909,5.00
361,759.778552,11.729222,5.00
362,753.332605,8.406626,5.00
363,757.809040,6.256322,5.00
364,765.677501,2.764632,5.00
365,769.590467,8.821628,5.00
366,782.987175,3.725076,5.00
367,641.372315,37.222945,5.00
368,762.124806,6.661303,5.00
369,643.077086,10.404953,5.00
370,702.346928,29.008804,5.00
371,716.462180,10.909169,5.00
372,698.708405,7.226041,5.00
373,637.230641,7.972902,5.00
374,726.007262,10.997347,5.00
375,665.961855,21.976546,5.00
376,722.134337,4.534583,5.00
377,685.124814,4.764522,5.00
378,705.747666,13.362529,5.00
379,754.421054,25.603387,5.00
380,785.800751,8.323635,5.00
381,731.975567,14.986047,5.00
382,685.501057,8.542670,5.00
383,700.236731,12.240613,5.00
384,737.175381,6.633158,5.00
385,726.835043,4.565679,5.00
386,741.812411,8.130053,5.00
387,714.889809,18.879584,5.00
388,692.095892,6.015685,5.00
389,766.577135,14.311858,5.00
390,730.724045,25.776812,5.00
391,736.578806,15.808229,5.00
392,728.592325,3.407378,5.00
393,762.075314,6.411554,5.00
394,731.333026,5.892571,5.00
395,775.434773,9.626951,5.00
396,769.920089,2.970647,5.00
397,655.411968,19.707481,5.00
398,646.653469,7.504030,5.00
399,642.618181,30.844208,5.00
400,673.749932,18.586541,5.00
401,639.573242,13.922434,5.00
402,468.393019,72.603990,5.00
403,748.258299,13.395733,5.00
404,637.959778,27.038953,5.00
405,685.888826,24.735210,5.00
406,697.917829,18.840109,5.00
407,503.536218,34.228288,5.00
408,534.530093,84.377670,5.00
409,548.603511,50.356137,5.00
410,660.796738,29.915055,5.00
411,623.217455,112.255143,5.00
412,678.228350,19.800236,5.00
413,663.797073,28.191601,5.00
414,624.442768,19.454898,5.00
415,608.973565,56.874364,5.00
416,622.544983,124.051661,5.00
417,690.098797,11.626252,5.00
418,645.552970,41.487219,5.00
419,712.851061,14.785897,5.00
420,687.688203,15.031111,5.00
421,734.290126,9.432403,5.00
422,717.466191,13.682910,5.00
423,730.926379,8.266142,5.00
424,786.420181,3.005642,5.00
425,706.335256,11.880814,5.00
426,736.235954,3.764853,5.00
427,683.780043,107.658335,5.00
428,727.905591,11.802564,5.00
429,743.431040,11.520327,5.00
430,735.256058,21.094282,5.00
431,764.250226,10.185884,5.00
432,681.637795,204.712522,5.00
433,760.410511,3.780186,5.00
434,659.567454,5.591483,5.00
435,783.250505,8.461835,5.00
436,722.206687,13.584262,5.00
437,722.942658,53.595197,5.00
438,762.625280,5.985646,5.00
439,655.523879,72.107565,5.00
440,590.201950,22.602294,5.00
441,586.404687,18.207065,5.00
442,695.008656,13.306486,5.00
443,738.337388,13.977419,5.00
444,664.769888,50.466382,5.00
445,748.637665,4.584372,5.00
446,700.980040,63.067189,5.00
447,689.107722,12.241440,5.00
448,711.091145,13.266383,5.00
449,684.457548,12.155084,5.00
450,704.418678,15.618053,5.00
451,770.460747,5.533796,5.00
452,721.457827,8.855718,5.00
453,749.188451,9.290139,5.00
454,678.718371,92.045882,5.00
455,721.298120,6.498856,5.00
456,634.664400,132.572581,5.00
457,747.917346,8.031177,5.00
458,690.403816,9.105211,5.00
459,635.792488,40.642200,5.00
460,725.995223,239.882235,5.00
461,715.478736,16.189595,5.00
462,670.531598,195.500857,5.00
463,533.425390,78.154757,5.00
464,583.472634,189.958294,5.00
465,697.069607,18.959539,5.00
466,594.762908,32.063180,5.00
467,645.820449,14.827673,5.00
468,705.801852,19.943508,5.00
469,672.355402,13.992720,5.00
470,702.365525,13.562552,5.00
471,720.762200,6.873140,5.00
472,644.514588,100.323359,5.00
473,743.296447,3.289096,5.00
474,664.387634,12.895612,5.00
475,664.736041,14.874334,5.00
476,667.205584,25.641975,5.00
477,661.245372,21.548395,5.00
478,662.054566,7.413923,5.00
479,683.987933,23.822313,5.00
480,758.043506,6.445421,5.00
481,753.263328,5.719916,5.00
482,719.369760,5.735605,5.00
483,614.597971,17.096746,5.00
484,742.806187,6.775938,5.00
485,664.586148,13.077062,5.00
486,740.935573,20.102629,5.00
487,724.588259,18.306259,5.00
488,643.723953,45.812492,5.00
489,718.825916,134.794388,5.00
490,557.961874,43.322514,5.00
491,572.286566,17.438237,5.00
492,652.899268,28.599747,5.00
493,681.959040,20.760873,5.00
494,629.029698,11.308647,5.00
495,737.735737,17.759894,5.00
496,569.698588,17.392374,5.00
497,670.460623,8.242603,5.00
498,720.033909,44.347397,5.00
499,687.240063,14.483162,5.00
500,710.831214,15.846252,5.00
501,645.261194,14.917160,5.00
502,769.109694,27.817033,5.00
503,661.726812,17.146129,5.00
504,729.677534,18.627460,5.00
505,709.540322,9.868384,5.00
506,716.665318,9.879134,5.00
507,679.473298,226.894826,5.00
508,670.945270,16.060616,5.00
509,469.349027,98.289619,5.00
510,593.405013,39.893601,5.00
511,625.325369,30.277150,5.00
512,750.420280,22.290225,5.00
513,773.461248,4.308494,5.00
514,715.301943,7.736569,5.00
515,717.339662,11.037698,5.00
516,797.952263,4.925533,5.00
517,799.530249,5.167575,5.00
